species,n_records,n_presence_patches,auc_mean,auc_std,accuracy_mean,precision_mean,recall_mean,f1_mean,mcc_mean,kappa_mean,tss_mean
Lotus corniculatus,4819,2761,0.8209172279248644,0.006600205366827013,0.797175832070384,0.6837432244802536,0.35204877217810626,0.46465335509781874,0.38484917937704444,0.3549745110370835,0.29760014404799506
Fraxinus excelsior,9019,5218,0.820855424330782,0.004990841431413644,0.7899099931426079,0.6583913707616047,0.3324998255107026,0.4413672255740531,0.3582777878963383,0.3289591538360213,0.27487857333086235
Salix aurita,265,189,0.820826926011639,0.0390749302030865,0.8002527012896479,0.7155844155844155,0.3379800853485064,0.4545520581113801,0.39091896988188873,0.35228170978101725,0.29210211608907466
Matricaria discoidea,1125,945,0.8208224853727499,0.01829880565345718,0.7873015873015874,0.6750275266801877,0.28994708994708995,0.4041401115421796,0.3395936514373898,0.2993963391088769,0.2430335097001763
Rorippa palustris,159,121,0.8208200786402842,0.04331827912616764,0.7954467353951891,0.6815656565656566,0.33766666666666667,0.4441078027663393,0.37266440263497735,0.338947917441522,0.2853835616438356
Rhamnus cathartica,1831,1319,0.8206230948173087,0.008318874082497223,0.778430633347695,0.6330084921150976,0.2698813227330338,0.37831263753939803,0.30555361841834133,0.26924412315638385,0.21782185319568814
Spiraea douglasii,43,32,0.8206140350877194,0.06994782725950655,0.7504615384615384,0.2,0.03333333333333333,0.05714285714285714,0.048369236579002536,0.032192777180444,0.022807017543859654
Epilobium hirsutum,1871,1430,0.8204794040458377,0.007549434239068182,0.7875874125874126,0.6546508962415998,0.32237762237762235,0.4308530088841384,0.3493115610716809,0.31856001487290164,0.2650349650349651
Primula polyantha,114,88,0.8203980382670727,0.06212994980973682,0.775573440643863,0.67,0.3065359477124183,0.40125545308154004,0.3295205832247591,0.28609104546906616,0.23788573000559682
Ranunculus lanuginosus,533,403,0.8202210302446062,0.02044686407809965,0.8083206738072803,0.7372137666255314,0.36981481481481476,0.4876210433917813,0.42338646933254775,0.38647268201707347,0.32430540155738197
Prunus spinosa,6194,4435,0.8201387361898261,0.0048258797311813645,0.7862457722660654,0.6420458171350857,0.3280721533258174,0.43412360920830106,0.346405079130866,0.31899698459911546,0.2670424652386321
Bromus hordeaceus,672,551,0.8198916497081837,0.014457808750062657,0.7835714285714286,0.6333666476740779,0.32666666666666666,0.42895796759298577,0.3392711014951765,0.3122630518729358,0.2625231163599744
Tragopogon pratensis,3862,2823,0.8197264532737736,0.014299622804631144,0.7776306250247509,0.6107658824153701,0.3074700307537815,0.40865171668021344,0.3157769077038671,0.28967484626913037,0.24181744782149064
Daphne mezereum,5044,3308,0.8197091266585685,0.005926220212915899,0.8008619692682514,0.6896323947488112,0.36971630460119476,0.48129550645339975,0.3994324732700223,0.3717331702014087,0.31429520278921785
Lonicera xylosteum,12191,7060,0.8196435282898239,0.006489159231127664,0.7856940509915014,0.6365236058611314,0.33257790368271956,0.4361632180139082,0.34582689946863027,0.3199032990281322,0.26931067044381496
